event_id,account,kind,amount,date
evt-0000,north,void,0.00,2026-08-01
evt-0000,north,void,0.00,2026-08-01
evt-0001,south,charge,1.17,2026-08-02
evt-0002,east,charge,2.34,2026-08-03
evt-0003,west,charge,3.51,2026-08-04
evt-0004,north,charge,4.68,2026-08-05
evt-0005,south,refund,5.85,2026-08-06
evt-0006,east,charge,6.02,2026-08-07
evt-0007,west,charge,7.19,2026-08-08
evt-0007,west,charge,7.19,2026-08-08
evt-0008,north,charge,8.36,2026-08-09
evt-0009,south,charge,9.53,2026-08-10
evt-0010,east,refund,10.70,2026-08-11
evt-0011,west,charge,11.87,2026-08-12
evt-0012,north,charge,12.04,2026-08-13
evt-0013,south,void,13.21,2026-08-14
evt-0014,east,charge,14.38,2026-08-15
evt-0014,east,charge,14.38,2026-08-15
evt-0015,west,refund,15.55,2026-08-16
evt-0016,north,charge,16.72,2026-08-17
evt-0017,south,charge,17.89,2026-08-18
evt-0018,east,charge,18.06,2026-08-19
evt-0019,west,charge,19.23,2026-08-20
evt-0020,north,refund,20.40,2026-08-21
evt-0021,south,charge,21.57,2026-08-22
evt-0021,south,charge,21.57,2026-08-22
evt-0022,east,charge,22.74,2026-08-23
evt-0023,west,charge,23.91,2026-08-24
evt-0024,north,charge,24.08,2026-08-25
evt-0025,south,refund,25.25,2026-08-26
evt-0026,east,void,26.42,2026-08-27
evt-0027,west,charge,27.59,2026-08-28
evt-0028,north,charge,28.76,2026-08-01
evt-0028,north,charge,28.76,2026-08-01
evt-0029,south,charge,0.93,2026-08-02
evt-0030,east,refund,1.10,2026-08-03
evt-0031,west,charge,2.27,2026-08-04
evt-0032,north,charge,3.44,2026-08-05
evt-0033,south,charge,4.61,2026-08-06
evt-0034,east,charge,5.78,2026-08-07
evt-0035,west,refund,6.95,2026-08-08
evt-0035,west,refund,6.95,2026-08-08
evt-0036,north,charge,7.12,2026-08-09
evt-0037,south,charge,8.29,2026-08-10
evt-0038,east,charge,9.46,2026-08-11
evt-0039,west,void,10.63,2026-08-12
evt-0040,north,refund,11.80,2026-08-13
evt-0041,south,charge,12.97,2026-08-14
evt-0042,east,charge,13.14,2026-08-15
evt-0042,east,charge,13.14,2026-08-15
evt-0043,west,charge,14.31,2026-08-16
evt-0044,north,charge,15.48,2026-08-17
evt-0045,south,refund,16.65,2026-08-18
evt-0046,east,charge,17.82,2026-08-19
evt-0047,west,charge,18.99,2026-08-20
evt-0048,north,charge,19.16,2026-08-21
evt-0049,south,charge,20.33,2026-08-22
evt-0049,south,charge,20.33,2026-08-22
evt-0050,east,refund,21.50,2026-08-23
evt-0051,west,charge,22.67,2026-08-24
evt-0052,north,void,23.84,2026-08-25
evt-0053,south,charge,24.01,2026-08-26
evt-0054,east,charge,25.18,2026-08-27
evt-0055,west,refund,26.35,2026-08-28
evt-0056,north,charge,27.52,2026-08-01
evt-0056,north,charge,27.52,2026-08-01
evt-0057,south,charge,28.69,2026-08-02
evt-0058,east,charge,0.86,2026-08-03
evt-0059,west,charge,1.03,2026-08-04
evt-0060,north,refund,2.20,2026-08-05
evt-0061,south,charge,3.37,2026-08-06
evt-0062,east,charge,4.54,2026-08-07
evt-0063,west,charge,5.71,2026-08-08
evt-0063,west,charge,5.71,2026-08-08
evt-0064,north,charge,6.88,2026-08-09
evt-0065,south,void,7.05,2026-08-10
evt-0066,east,charge,8.22,2026-08-11
evt-0067,west,charge,9.39,2026-08-12
evt-0068,north,charge,10.56,2026-08-13
evt-0069,south,charge,11.73,2026-08-14
evt-0070,east,refund,12.90,2026-08-15
evt-0070,east,refund,12.90,2026-08-15
evt-0071,west,charge,13.07,2026-08-16
evt-0072,north,charge,14.24,2026-08-17
evt-0073,south,charge,15.41,2026-08-18
evt-0074,east,charge,16.58,2026-08-19
evt-0075,west,refund,17.75,2026-08-20
evt-0076,north,charge,18.92,2026-08-21
evt-0077,south,charge,19.09,2026-08-22
evt-0077,south,charge,19.09,2026-08-22
evt-0078,east,void,20.26,2026-08-23
evt-0079,west,charge,21.43,2026-08-24
evt-0080,north,refund,22.60,2026-08-25
evt-0081,south,charge,23.77,2026-08-26
evt-0082,east,charge,24.94,2026-08-27
evt-0083,west,charge,25.11,2026-08-28
evt-0084,north,charge,26.28,2026-08-01
evt-0084,north,charge,26.28,2026-08-01
evt-0085,south,refund,27.45,2026-08-02
evt-0086,east,charge,28.62,2026-08-03
evt-0087,west,charge,0.79,2026-08-04
evt-0088,north,charge,1.96,2026-08-05
evt-0089,south,charge,2.13,2026-08-06
evt-0090,east,refund,3.30,2026-08-07
evt-0091,west,void,4.47,2026-08-08
evt-0091,west,void,4.47,2026-08-08
evt-0092,north,charge,5.64,2026-08-09
evt-0093,south,charge,6.81,2026-08-10
evt-0094,east,charge,7.98,2026-08-11
evt-0095,west,refund,8.15,2026-08-12
evt-0096,north,charge,9.32,2026-08-13
evt-0097,south,charge,10.49,2026-08-14
evt-0098,east,charge,11.66,2026-08-15
evt-0098,east,charge,11.66,2026-08-15
evt-0099,west,charge,12.83,2026-08-16
evt-0100,north,refund,13.00,2026-08-17
evt-0101,south,charge,14.17,2026-08-18
evt-0102,east,charge,15.34,2026-08-19
evt-0103,west,charge,16.51,2026-08-20
evt-0104,north,void,17.68,2026-08-21
evt-0105,south,refund,18.85,2026-08-22
evt-0105,south,refund,18.85,2026-08-22
evt-0106,east,charge,19.02,2026-08-23
evt-0107,west,charge,20.19,2026-08-24
evt-0108,north,charge,21.36,2026-08-25
evt-0109,south,charge,22.53,2026-08-26
evt-0110,east,refund,23.70,2026-08-27
evt-0111,west,charge,24.87,2026-08-28
evt-0112,north,charge,25.04,2026-08-01
evt-0112,north,charge,25.04,2026-08-01
evt-0113,south,charge,26.21,2026-08-02
evt-0114,east,charge,27.38,2026-08-03
evt-0115,west,refund,28.55,2026-08-04
evt-0116,north,charge,0.72,2026-08-05
evt-0117,south,void,1.89,2026-08-06
evt-0118,east,charge,2.06,2026-08-07
evt-0119,west,charge,3.23,2026-08-08
evt-0119,west,charge,3.23,2026-08-08
evt-0120,north,refund,4.40,2026-08-09
evt-0121,south,charge,5.57,2026-08-10
evt-0122,east,charge,6.74,2026-08-11
evt-0123,west,charge,7.91,2026-08-12
evt-0124,north,charge,8.08,2026-08-13
evt-0125,south,refund,9.25,2026-08-14
evt-0126,east,charge,10.42,2026-08-15
evt-0126,east,charge,10.42,2026-08-15
evt-0127,west,charge,11.59,2026-08-16
evt-0128,north,charge,12.76,2026-08-17
evt-0129,south,charge,13.93,2026-08-18
evt-0130,east,void,14.10,2026-08-19
evt-0131,west,charge,15.27,2026-08-20
evt-0132,north,charge,16.44,2026-08-21
evt-0133,south,charge,17.61,2026-08-22
evt-0133,south,charge,17.61,2026-08-22
evt-0134,east,charge,18.78,2026-08-23
evt-0135,west,refund,19.95,2026-08-24
evt-0136,north,charge,20.12,2026-08-25
evt-0137,south,charge,21.29,2026-08-26
evt-0138,east,charge,22.46,2026-08-27
evt-0139,west,charge,23.63,2026-08-28
evt-0140,north,refund,24.80,2026-08-01
evt-0140,north,refund,24.80,2026-08-01
evt-0141,south,charge,25.97,2026-08-02
evt-0142,east,charge,26.14,2026-08-03
evt-0143,west,void,27.31,2026-08-04
evt-0144,north,charge,28.48,2026-08-05
evt-0145,south,refund,0.65,2026-08-06
evt-0146,east,charge,1.82,2026-08-07
evt-0147,west,charge,2.99,2026-08-08
evt-0147,west,charge,2.99,2026-08-08
evt-0148,north,charge,3.16,2026-08-09
